Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit_Score,Type,Currency,Lender_Name,Lender_Min_Credit_Score,Restricted_Type,Favorite_Type,Lender_Currency
LP001535,Male,No,0,Graduate,No,50,360,1,Urban,Y,600,Oilfield Services/Equipment,Rand,Marks-Beer,688,n/a,Oilfield Services/Equipment,Rand
LP001536,Male,Yes,3+,Graduate,No,600,180,0,Semiurban,Y,650,Biotechnology: Biological Products (No Diagnostic Substances),Yuan Renminbi,"Cormier, Zemlak and Boehm",594,Major Pharmaceuticals,Biotechnology: Biological Products (No Diagnostic Substances),Yuan Renminbi
LP001541,Male,Yes,1,Graduate,No,160,360,,Rural,Y,700,Major Banks,Peso,Koelpin and Sons,586,Marine Transportation,Major Banks,Peso
LP001543,Male,Yes,1,Graduate,No,187,360,1,Urban,Y,750,Semiconductors,Real,"VonRueden, Erdman and Nikolaus",679,Restaurants,Semiconductors,Real
LP001546,Male,No,0,Graduate,,120,360,1,Rural,Y,800,Semiconductors,Yuan Renminbi,Swift-Fahey,732,Real Estate Investment Trusts,Semiconductors,Yuan Renminbi
LP001552,Male,Yes,0,Graduate,No,255,360,1,Semiurban,Y,640,Major Pharmaceuticals,Peso,Quigley-Turcotte,561,Major Banks,Major Pharmaceuticals,Peso
LP001560,Male,Yes,0,Not Graduate,No,98,360,1,Semiurban,Y,690,Computer Software: Prepackaged Software,Yuan Renminbi,"Romaguera, Frami and Feest",833,n/a,Computer Software: Prepackaged Software,Yuan Renminbi
LP001562,Male,Yes,0,Graduate,No,275,360,1,Urban,N,740,Real Estate,Dollar,Langosh-Donnelly,399,"Computer Software: Programming, Data Processing",Real Estate,Dollar
LP001565,Male,Yes,1,Graduate,No,121,360,0,Semiurban,N,790,Real Estate Investment Trusts,Zloty,"Bahringer, Sawayn and Torp",628,Business Services,Real Estate Investment Trusts,Zloty
LP001570,Male,Yes,2,Graduate,No,158,360,1,Rural,Y,830,Industrial Machinery/Components,Yuan Renminbi,"West, Willms and Price",553,Telecommunications Equipment,Industrial Machinery/Components,Yuan Renminbi
LP001572,Male,Yes,0,Graduate,No,75,180,1,Urban,Y,870,n/a,Zloty,Skiles Group,460,Advertising,n/a,Zloty
LP001574,Male,Yes,0,Graduate,No,182,,1,Rural,Y,500,Major Banks,Manat,"Fahey, Gleichner and Olson",856,Biotechnology: Biological Products (No Diagnostic Substances),Major Banks,Manat
LP001577,Female,Yes,0,Graduate,No,112,360,1,Rural,N,550,n/a,Tala,"Smith, Zieme and Stokes",812,Major Pharmaceuticals,n/a,Tala
LP001578,Male,Yes,0,Graduate,No,129,360,1,Rural,Y,600,Oil & Gas Production,Ruble,Hammes Inc,771,Finance: Consumer Services,Oil & Gas Production,Ruble
LP001579,Male,No,0,Graduate,No,63,480,0,Semiurban,N,650,n/a,Ouguiya,Luettgen-Pollich,775,n/a,n/a,Ouguiya
LP001580,Male,Yes,2,Graduate,No,200,360,1,Semiurban,Y,700,Transportation Services,Afghani,Muller Group,661,Savings Institutions,Transportation Services,Afghani
LP001581,Male,Yes,0,Not Graduate,,95,360,1,Rural,Y,750,Business Services,Yuan Renminbi,"Torphy, Bergstrom and Skiles",395,n/a,Business Services,Yuan Renminbi
LP001585,,Yes,3+,Graduate,No,700,300,1,Urban,Y,800,n/a,Krone,"Mann, Kuphal and Johns",305,RETAIL: Building Materials,n/a,Krone
LP001586,Male,Yes,3+,Not Graduate,No,81,180,1,Rural,N,850,Diversified Commercial Services,Afghani,Kessler Inc,808,n/a,Diversified Commercial Services,Afghani
LP001594,Male,Yes,0,Graduate,No,187,360,1,Semiurban,Y,780,Major Banks,Euro,Hilll-Luettgen,622,Major Chemicals,Major Banks,Euro
LP001603,Male,Yes,0,Not Graduate,Yes,87,360,1,Semiurban,N,620,Real Estate Investment Trusts,Krona,Bernhard Inc,909,n/a,Real Estate Investment Trusts,Krona
LP001606,Male,Yes,0,Graduate,No,116,360,1,Rural,Y,580,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Dollar,Bradtke-Mills,665,Radio And Television Broadcasting And Communications Equipment,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Dollar
LP001608,Male,Yes,2,Graduate,No,101,360,1,Rural,Y,530,RETAIL: Building Materials,Lek,Klein-Nienow,694,Precious Metals,RETAIL: Building Materials,Lek
LP001610,Male,Yes,3+,Graduate,No,495,360,0,Semiurban,N,651,Electric Utilities: Central,Peso,Zboncak LLC,944,Major Banks,Electric Utilities: Central,Peso
LP001616,Male,Yes,1,Graduate,No,116,360,1,Semiurban,Y,701,Computer Manufacturing,Dollar,West-Johnson,614,Apparel,Computer Manufacturing,Dollar
LP001630,Male,No,0,Not Graduate,No,102,480,0,Urban,N,350,Office Equipment/Supplies/Services,Euro,Langosh LLC,706,Semiconductors,Office Equipment/Supplies/Services,Euro
LP001633,Male,Yes,1,Graduate,No,180,360,0,Urban,N,400,n/a,Shilling,Brekke LLC,768,Major Pharmaceuticals,n/a,Shilling
LP001634,Male,No,0,Graduate,No,67,360,,Rural,N,450,Telecommunications Equipment,Dollar,"Gorczany, Bradtke and Schmitt",701,n/a,Telecommunications Equipment,Dollar
LP001636,Male,Yes,0,Graduate,No,73,180,1,Semiurban,Y,500,Business Services,Real,Weimann and Sons,614,n/a,Business Services,Real
LP001637,Male,Yes,1,Graduate,No,260,360,1,Semiurban,N,550,Major Banks,Ruble,"O'Keefe, Johnston and Ankunding",794,Major Pharmaceuticals,Major Banks,Ruble
LP001639,Female,Yes,0,Graduate,No,108,360,1,Semiurban,Y,450,Construction/Ag Equipment/Trucks,Yuan Renminbi,Collier LLC,949,Railroads,Construction/Ag Equipment/Trucks,Yuan Renminbi
LP001640,Male,Yes,0,Graduate,Yes,120,360,1,Semiurban,Y,500,n/a,Lev,Johnson Inc,507,Telecommunications Equipment,n/a,Lev
LP001641,Male,Yes,1,Graduate,Yes,66,300,0,Rural,N,550,Major Chemicals,Yen,"Hansen, Spinka and Blanda",897,Oilfield Services/Equipment,Major Chemicals,Yen
LP001643,Male,Yes,0,Graduate,No,58,360,,Rural,Y,600,n/a,Tugrik,Reilly Group,619,Hotels/Resorts,n/a,Tugrik
LP001644,,Yes,0,Graduate,Yes,168,360,1,Rural,Y,650,n/a,Euro,Gleichner Group,527,n/a,n/a,Euro
LP001647,Male,Yes,0,Graduate,No,188,180,1,Rural,Y,700,Diversified Commercial Services,Real,"Kemmer, Will and Bins",718,Packaged Foods,Diversified Commercial Services,Real
LP001653,Male,No,0,Not Graduate,No,48,360,1,Rural,Y,750,n/a,Rupiah,"Kihn, Jacobson and Shanahan",447,Banks,n/a,Rupiah
LP001656,Male,No,0,Graduate,No,164,360,1,Semiurban,N,800,n/a,Euro,"O'Reilly, Doyle and Witting",800,Water Supply,n/a,Euro
LP001657,Male,Yes,0,Not Graduate,No,160,360,1,Urban,N,850,Medical/Nursing Services,Rupiah,Casper Group,382,Homebuilding,Medical/Nursing Services,Rupiah
LP001658,Male,No,0,Graduate,No,76,360,1,Semiurban,Y,780,n/a,Euro,"Wehner, Mann and Green",725,Major Pharmaceuticals,n/a,Euro
LP001664,Male,No,0,Graduate,No,120,360,1,Rural,Y,620,Semiconductors,Hryvnia,Bernhard LLC,889,n/a,Semiconductors,Hryvnia
LP001665,Male,Yes,1,Graduate,No,170,360,1,Semiurban,N,580,Computer Manufacturing,Yuan Renminbi,Dietrich Inc,369,Engineering & Construction,Computer Manufacturing,Yuan Renminbi
LP001666,Male,No,0,Graduate,No,187,360,1,Rural,Y,530,Oil & Gas Production,Rupiah,Hagenes-Koch,757,n/a,Oil & Gas Production,Rupiah
LP001669,Female,No,0,Not Graduate,No,120,,1,Urban,Y,570,Major Pharmaceuticals,Rupiah,Ritchie-Hilll,565,Major Pharmaceuticals,Major Pharmaceuticals,Rupiah
LP001671,Female,Yes,0,Graduate,No,113,360,,Semiurban,Y,640,Major Banks,Kip,"Rowe, Monahan and Jast",811,n/a,Major Banks,Kip
LP001673,Male,No,0,Graduate,Yes,83,360,1,Urban,N,690,EDP Services,Naira,Nikolaus Inc,709,Major Banks,EDP Services,Naira
LP001674,Male,Yes,1,Not Graduate,No,90,360,1,Semiurban,Y,740,n/a,Afghani,"Lehner, Russel and Steuber",915,Building Materials,n/a,Afghani
LP001677,Male,No,2,Graduate,No,166,360,0,Semiurban,Y,790,n/a,Yuan Renminbi,Schumm Group,548,Real Estate Investment Trusts,n/a,Yuan Renminbi
LP001682,Male,Yes,3+,Not Graduate,No,,180,1,Urban,N,830,Computer Communications Equipment,Dollar,Upton LLC,378,Precious Metals,Computer Communications Equipment,Dollar
LP001688,Male,Yes,1,Not Graduate,No,135,360,1,Urban,Y,870,n/a,Yuan Renminbi,Larson-Jast,371,Computer Software: Prepackaged Software,n/a,Yuan Renminbi
LP001691,Male,Yes,2,Not Graduate,No,124,360,1,Semiurban,Y,300,Home Furnishings,Franc,Friesen Inc,684,Marine Transportation,Home Furnishings,Franc
LP001692,Female,No,0,Not Graduate,No,120,360,1,Semiurban,Y,350,Industrial Machinery/Components,Yuan Renminbi,Waelchi-Champlin,797,Real Estate Investment Trusts,Industrial Machinery/Components,Yuan Renminbi
LP001693,Female,No,0,Graduate,No,80,360,1,Urban,Y,400,Property-Casualty Insurers,Rupee,Bernier and Sons,781,EDP Services,Property-Casualty Insurers,Rupee
LP001698,Male,No,0,Not Graduate,No,55,360,1,Rural,Y,450,Hotels/Resorts,Dollar,Feest Inc,507,Farming/Seeds/Milling,Hotels/Resorts,Dollar
LP001699,Male,No,0,Graduate,No,59,360,1,Urban,Y,500,Precious Metals,Yuan Renminbi,Raynor and Sons,318,n/a,Precious Metals,Yuan Renminbi
LP001702,Male,No,0,Graduate,No,127,360,1,Semiurban,N,550,n/a,Ringgit,Fahey-Hodkiewicz,376,Real Estate Investment Trusts,n/a,Ringgit
LP001708,Female,No,0,Graduate,No,214,360,1,Semiurban,N,600,Biotechnology: Biological Products (No Diagnostic Substances),Yuan Renminbi,Huels and Sons,418,"Computer Software: Programming, Data Processing",Biotechnology: Biological Products (No Diagnostic Substances),Yuan Renminbi
LP001711,Male,Yes,3+,Graduate,No,128,360,0,Semiurban,N,650,Paints/Coatings,Euro,"Gerlach, Murazik and Howell",570,Diversified Commercial Services,Paints/Coatings,Euro
LP001713,Male,Yes,1,Graduate,Yes,240,360,1,Urban,Y,700,Agricultural Chemicals,Rand,Mills Group,894,Telecommunications Equipment,Agricultural Chemicals,Rand
LP001715,Male,Yes,3+,Not Graduate,Yes,130,360,1,Rural,Y,750,n/a,Sol,Zulauf and Sons,710,Plastic Products,n/a,Sol
LP001716,Male,Yes,0,Graduate,No,137,360,1,Urban,Y,800,n/a,Yen,Hansen-Swift,365,Trucking Freight/Courier Services,n/a,Yen
LP001720,Male,Yes,3+,Not Graduate,No,100,360,1,Semiurban,Y,850,Hotels/Resorts,Tenge,Ziemann Inc,479,Semiconductors,Hotels/Resorts,Tenge
LP001722,Male,Yes,0,Graduate,No,135,360,1,Rural,N,780,Major Banks,Peso,"Cremin, Weber and Rempel",446,Recreational Products/Toys,Major Banks,Peso
LP001726,Male,Yes,0,Graduate,No,131,360,1,Semiurban,Y,620,EDP Services,Ruble,"Frami, Rosenbaum and Lehner",429,n/a,EDP Services,Ruble
LP001732,Male,Yes,2,Graduate,,72,360,0,Semiurban,N,580,Industrial Machinery/Components,Rupiah,Macejkovic-Keeling,580,n/a,Industrial Machinery/Components,Rupiah
LP001734,Female,Yes,2,Graduate,No,127,360,,Semiurban,Y,530,Major Pharmaceuticals,Dirham,"Schowalter, Towne and Armstrong",726,Computer Software: Prepackaged Software,Major Pharmaceuticals,Dirham
LP001736,Male,Yes,0,Graduate,No,60,360,0,Urban,N,570,n/a,Franc,"Kub, Crooks and Koss",917,Engineering & Construction,n/a,Franc
LP001743,Male,Yes,2,Graduate,No,116,360,1,Semiurban,Y,640,Packaged Foods,Peso,Heathcote LLC,525,Telecommunications Equipment,Packaged Foods,Peso
LP001744,Male,No,0,Graduate,No,144,360,1,Semiurban,Y,690,Automotive Aftermarket,Euro,Leffler Group,910,n/a,Automotive Aftermarket,Euro
LP001749,Male,Yes,0,Graduate,No,175,,1,Semiurban,Y,740,Office Equipment/Supplies/Services,Rupiah,"Wehner, Watsica and Kovacek",829,Ophthalmic Goods,Office Equipment/Supplies/Services,Rupiah
LP001750,Male,Yes,0,Graduate,No,128,360,1,Semiurban,Y,790,Major Banks,Yuan Renminbi,Jacobi Inc,821,Telecommunications Equipment,Major Banks,Yuan Renminbi
LP001751,Male,Yes,0,Graduate,No,170,360,1,Rural,N,830,Auto Manufacturing,Euro,"Rosenbaum, Monahan and Gislason",433,Catalog/Specialty Distribution,Auto Manufacturing,Euro
LP001754,Male,Yes,,Not Graduate,Yes,138,360,1,Urban,N,870,n/a,Lempira,Swift and Sons,847,n/a,n/a,Lempira
LP001758,Male,Yes,2,Graduate,No,210,360,1,Semiurban,Y,301,Industrial Machinery/Components,Peso,Muller Group,331,Food Chains,Industrial Machinery/Components,Peso
LP001760,Male,,,Graduate,No,158,480,1,Semiurban,Y,351,Transportation Services,Euro,"Wyman, Stanton and Denesik",407,Biotechnology: Biological Products (No Diagnostic Substances),Transportation Services,Euro
LP001761,Male,No,0,Graduate,Yes,200,360,1,Rural,Y,401,Advertising,Zloty,Dicki Inc,808,Property-Casualty Insurers,Advertising,Zloty
LP001765,Male,Yes,1,Graduate,No,104,360,1,Semiurban,Y,451,Industrial Machinery/Components,Real,Dickinson-Nader,905,Environmental Services,Industrial Machinery/Components,Real
LP001768,Male,Yes,0,Graduate,,42,180,1,Rural,Y,501,Biotechnology: Biological Products (No Diagnostic Substances),Franc,"Gislason, Huel and Dietrich",679,Natural Gas Distribution,Biotechnology: Biological Products (No Diagnostic Substances),Franc
LP001770,Male,No,0,Not Graduate,No,120,,1,Rural,Y,551,Major Pharmaceuticals,Peso,Kshlerin Group,747,Real Estate Investment Trusts,Major Pharmaceuticals,Peso
LP001776,Female,No,0,Graduate,No,280,360,1,Semiurban,Y,601,n/a,Ruble,Hand-Harber,840,n/a,n/a,Ruble
LP001778,Male,Yes,1,Graduate,No,140,360,1,Semiurban,Y,651,n/a,Rupiah,Harvey and Sons,521,Electrical Products,n/a,Rupiah
LP001784,Male,Yes,1,Graduate,No,170,360,1,Rural,Y,701,Real Estate Investment Trusts,Dollar,Rempel-Hermann,740,Real Estate Investment Trusts,Real Estate Investment Trusts,Dollar
LP001786,Male,Yes,0,Graduate,,255,360,,Urban,N,751,n/a,Peso,Hoppe-Runolfsdottir,531,Television Services,n/a,Peso
LP001788,Female,No,0,Graduate,Yes,122,360,,Urban,Y,801,Investment Bankers/Brokers/Service,Rupiah,"Mueller, Hilll and Rohan",665,Major Pharmaceuticals,Investment Bankers/Brokers/Service,Rupiah
LP001790,Female,No,1,Graduate,No,112,360,1,Rural,Y,851,n/a,Yuan Renminbi,"Botsford, Gleichner and Conn",794,Biotechnology: Laboratory Analytical Instruments,n/a,Yuan Renminbi
LP001792,Male,Yes,1,Graduate,No,96,360,1,Semiurban,Y,781,Transportation Services,Rupiah,Okuneva and Sons,732,Real Estate Investment Trusts,Transportation Services,Rupiah
LP001798,Male,Yes,2,Graduate,No,120,360,1,Rural,Y,621,n/a,Yen,"Price, Ferry and Mayert",450,Major Banks,n/a,Yen
LP001800,Male,Yes,1,Not Graduate,No,140,180,1,Urban,N,581,Major Banks,Euro,Hodkiewicz-Schaefer,807,n/a,Major Banks,Euro
LP001806,Male,No,0,Graduate,No,155,60,1,Urban,Y,570,n/a,Sol,Steuber-Botsford,616,"Computer Software: Programming, Data Processing",n/a,Sol
LP001807,Male,Yes,2,Graduate,Yes,108,360,1,Rural,Y,640,Major Banks,Peso,Rohan-Stark,609,Property-Casualty Insurers,Major Banks,Peso
LP001811,Male,Yes,0,Not Graduate,No,123,360,1,Semiurban,Y,690,Real Estate Investment Trusts,Yuan Renminbi,"Sauer, Stanton and Rempel",339,EDP Services,Real Estate Investment Trusts,Yuan Renminbi
LP001813,Male,No,0,Graduate,Yes,120,180,1,Urban,N,740,n/a,Rupiah,Murphy LLC,585,Medical/Dental Instruments,n/a,Rupiah
LP001814,Male,Yes,2,Graduate,No,112,360,1,Urban,Y,790,Major Pharmaceuticals,Real,Simonis Group,595,Major Banks,Major Pharmaceuticals,Real
LP001819,Male,Yes,1,Not Graduate,No,137,180,1,Urban,Y,830,Movies/Entertainment,Yuan Renminbi,"Erdman, Quitzon and Spencer",321,n/a,Movies/Entertainment,Yuan Renminbi
LP001824,Male,Yes,1,Graduate,No,123,480,1,Semiurban,Y,870,Investment Bankers/Brokers/Service,Real,Hoeger LLC,622,Newspapers/Magazines,Investment Bankers/Brokers/Service,Real
LP001825,Male,Yes,0,Graduate,No,90,360,1,Urban,Y,301,n/a,Dollar,"Dach, Brekke and Lakin",556,Oil & Gas Production,n/a,Dollar
LP001835,Male,Yes,0,Not Graduate,No,201,360,0,Semiurban,N,351,n/a,Koruna,Rolfson-Mills,490,Semiconductors,n/a,Koruna
LP001836,Female,No,2,Graduate,No,138,360,1,Urban,N,401,Computer Software: Prepackaged Software,Yen,Gutkowski-Pacocha,503,Package Goods/Cosmetics,Computer Software: Prepackaged Software,Yen
LP001841,Male,No,0,Not Graduate,Yes,104,360,1,Rural,Y,451,EDP Services,Real,Lehner-Auer,882,Military/Government/Technical,EDP Services,Real
LP001843,Male,Yes,1,Not Graduate,No,279,180,1,Semiurban,Y,501,Major Banks,Real,Ebert-Brown,422,Department/Specialty Retail Stores,Major Banks,Real
LP001844,Male,No,0,Graduate,Yes,192,360,0,Urban,N,551,n/a,Baht,"Beer, Kovacek and Rutherford",300,Marine Transportation,n/a,Baht
LP001846,Female,No,3+,Graduate,No,255,360,1,Rural,Y,350,n/a,Real,"Franecki, Williamson and Adams",825,Real Estate,n/a,Real
LP001849,Male,No,0,Not Graduate,No,115,360,0,Rural,N,400,Precious Metals,Peso,Weissnat LLC,757,Auto Parts:O.E.M.,Precious Metals,Peso
LP001854,Male,Yes,3+,Graduate,No,94,360,1,Urban,N,450,Real Estate,Euro,"Wuckert, Hettinger and Keeling",577,Broadcasting,Real Estate,Euro
LP001859,Male,Yes,0,Graduate,No,304,360,1,Rural,N,500,Hospital/Nursing Management,Ruble,Boyle and Sons,365,n/a,Hospital/Nursing Management,Ruble
LP001864,Male,Yes,3+,Not Graduate,No,128,360,,Semiurban,N,550,Oil/Gas Transmission,Yuan Renminbi,Hoeger LLC,459,Clothing/Shoe/Accessory Stores,Oil/Gas Transmission,Yuan Renminbi
LP001865,Male,Yes,1,Graduate,No,330,360,,Urban,Y,600,RETAIL: Building Materials,Krona,"Crona, Morar and Gerhold",580,Property-Casualty Insurers,RETAIL: Building Materials,Krona
LP001868,Male,No,0,Graduate,No,134,360,1,Semiurban,Y,351,n/a,Yuan Renminbi,Feest and Sons,587,n/a,n/a,Yuan Renminbi
LP001870,Female,No,1,Graduate,No,155,36,1,Semiurban,N,401,n/a,Rupiah,"Davis, Altenwerth and Dicki",519,Investment Managers,n/a,Rupiah
LP001871,Female,No,0,Graduate,No,120,360,1,Rural,Y,451,Oil & Gas Production,Dollar,Jakubowski Inc,551,Major Pharmaceuticals,Oil & Gas Production,Dollar
LP001872,Male,No,0,Graduate,Yes,128,360,1,Semiurban,Y,501,Major Banks,Euro,"Yost, Luettgen and D'Amore",793,Telecommunications Equipment,Major Banks,Euro
LP001875,Male,No,0,Graduate,No,151,360,1,Rural,Y,551,Major Pharmaceuticals,Rupiah,Anderson-Pollich,358,Semiconductors,Major Pharmaceuticals,Rupiah
LP001877,Male,Yes,2,Graduate,No,150,360,1,Semiurban,Y,601,Natural Gas Distribution,Peso,Hane-Sauer,431,Medical/Dental Instruments,Natural Gas Distribution,Peso
LP001882,Male,Yes,3+,Graduate,No,160,360,0,Urban,Y,651,n/a,Dollar,Dare-Rempel,489,n/a,n/a,Dollar
LP001883,Female,No,0,Graduate,,135,360,1,Rural,N,701,Hospital/Nursing Management,Kip,"Hudson, Friesen and Feeney",321,Semiconductors,Hospital/Nursing Management,Kip
LP001884,Female,No,1,Graduate,No,90,360,1,Urban,Y,751,Investment Bankers/Brokers/Service,Yuan Renminbi,Torp-Wunsch,573,Diversified Commercial Services,Investment Bankers/Brokers/Service,Yuan Renminbi
LP001888,Female,No,0,Graduate,No,30,360,1,Urban,Y,801,Industrial Machinery/Components,Balboa,Bechtelar and Sons,628,Specialty Chemicals,Industrial Machinery/Components,Balboa
LP001891,Male,Yes,0,Graduate,No,136,360,1,Urban,Y,301,Major Pharmaceuticals,Zloty,Thompson Group,905,Property-Casualty Insurers,Major Pharmaceuticals,Zloty
LP001892,Male,No,0,Graduate,No,126,360,1,Rural,Y,351,Major Chemicals,Shilling,DuBuque Group,769,Hotels/Resorts,Major Chemicals,Shilling
LP001894,Male,Yes,0,Graduate,No,150,360,1,Semiurban,Y,401,n/a,Peso,"Collins, Wolf and McClure",950,n/a,n/a,Peso
LP001896,Male,Yes,2,Graduate,No,90,360,1,Semiurban,Y,451,Medical Specialities,Dollar,Prosacco-Marvin,846,n/a,Medical Specialities,Dollar
LP001900,Male,Yes,1,Graduate,No,115,360,1,Semiurban,Y,501,Computer Communications Equipment,Rupee,Wolf and Sons,766,Advertising,Computer Communications Equipment,Rupee
LP001903,Male,Yes,0,Graduate,No,207,360,1,Semiurban,Y,551,Other Pharmaceuticals,Peso,"Daniel, Stoltenberg and Rodriguez",823,n/a,Other Pharmaceuticals,Peso
LP001904,Male,Yes,0,Graduate,No,80,360,1,Urban,Y,350,n/a,Baht,West and Sons,602,RETAIL: Building Materials,n/a,Baht
LP001907,Male,Yes,0,Graduate,No,436,360,1,Semiurban,Y,400,Major Chemicals,Zloty,White-Graham,580,Industrial Machinery/Components,Major Chemicals,Zloty
LP001908,Female,Yes,0,Not Graduate,No,124,360,,Rural,Y,450,Natural Gas Distribution,Real,VonRueden-Larkin,909,Savings Institutions,Natural Gas Distribution,Real
LP001910,Male,No,1,Not Graduate,Yes,158,360,0,Urban,N,500,Computer Communications Equipment,Peso,Flatley-Cummerata,639,Fluid Controls,Computer Communications Equipment,Peso
LP001914,Male,Yes,0,Graduate,No,112,360,1,Semiurban,Y,550,Biotechnology: Commercial Physical & Biological Resarch,Naira,Feeney Inc,737,Fluid Controls,Biotechnology: Commercial Physical & Biological Resarch,Naira
LP001915,Male,Yes,2,Graduate,No,78,180,1,Urban,Y,600,Oil & Gas Production,Peso,Bogisich-Zulauf,736,EDP Services,Oil & Gas Production,Peso
LP001917,Female,No,0,Graduate,No,54,360,1,Urban,Y,351,Major Banks,Shekel,Ward-Lockman,634,n/a,Major Banks,Shekel
LP001922,Male,Yes,0,Graduate,No,,360,1,Rural,N,401,Packaged Foods,Dollar,Abbott LLC,768,n/a,Packaged Foods,Dollar
LP001924,Male,No,0,Graduate,No,89,360,1,Rural,Y,451,Investment Managers,Marka,"Hamill, Trantow and Schimmel",589,Property-Casualty Insurers,Investment Managers,Marka
LP001925,Female,No,0,Graduate,Yes,99,300,1,Semiurban,N,501,Accident &Health Insurance,Real,"Lesch, Mayer and Turner",366,Major Pharmaceuticals,Accident &Health Insurance,Real
LP001926,Male,Yes,0,Graduate,No,120,360,1,Rural,Y,551,Hotels/Resorts,Dong,"Rempel, Kuvalis and Bergstrom",357,n/a,Hotels/Resorts,Dong
LP001931,Female,No,0,Graduate,No,115,360,1,Semiurban,Y,601,Computer Software: Prepackaged Software,Yuan Renminbi,Littel-Quitzon,482,Hotels/Resorts,Computer Software: Prepackaged Software,Yuan Renminbi
LP001935,Male,No,0,Graduate,No,187,360,1,Rural,Y,651,n/a,Yuan Renminbi,Bernhard-O'Keefe,505,Apparel,n/a,Yuan Renminbi
LP001936,Male,Yes,0,Graduate,No,139,360,1,Rural,Y,701,Oil & Gas Production,Yuan Renminbi,"Hagenes, Mante and Yost",684,Semiconductors,Oil & Gas Production,Yuan Renminbi
LP001938,Male,Yes,2,Graduate,No,127,360,0,Semiurban,N,350,n/a,Dollar,Keebler Inc,610,Telecommunications Equipment,n/a,Dollar
LP001940,Male,Yes,2,Graduate,No,134,360,1,Urban,Y,400,Oil & Gas Production,Franc,"Lubowitz, Lang and Hickle",890,n/a,Oil & Gas Production,Franc
LP001945,Female,No,,Graduate,No,143,480,0,Urban,N,450,Major Pharmaceuticals,Peso,"Beatty, Schneider and Bauch",825,Computer Software: Prepackaged Software,Major Pharmaceuticals,Peso
LP001947,Male,Yes,0,Graduate,No,172,360,1,Semiurban,Y,500,n/a,Dirham,Prosacco LLC,450,Industrial Machinery/Components,n/a,Dirham
LP001949,Male,Yes,3+,Graduate,,110,360,1,Urban,Y,550,n/a,Franc,Hackett-Wisozk,303,Forest Products,n/a,Franc
LP001953,Male,Yes,1,Graduate,No,200,360,1,Semiurban,Y,600,Biotechnology: Commercial Physical & Biological Resarch,Taka,Berge Inc,889,Containers/Packaging,Biotechnology: Commercial Physical & Biological Resarch,Taka
LP001954,Female,Yes,1,Graduate,No,135,360,1,Urban,Y,650,n/a,Rupiah,Weissnat Group,489,Industrial Specialties,n/a,Rupiah
LP001955,Female,No,0,Graduate,No,151,480,1,Rural,N,700,n/a,Ruble,"Emard, Hilpert and Altenwerth",812,"Computer Software: Programming, Data Processing",n/a,Ruble
LP001963,Male,Yes,1,Graduate,No,113,360,1,Urban,N,750,Packaged Foods,Yuan Renminbi,"Block, Medhurst and Durgan",525,Meat/Poultry/Fish,Packaged Foods,Yuan Renminbi
LP001964,Male,Yes,0,Not Graduate,No,93,360,0,Urban,N,800,Computer Software: Prepackaged Software,Hryvnia,"Baumbach, Beer and Carter",491,Forest Products,Computer Software: Prepackaged Software,Hryvnia
LP001972,Male,Yes,,Not Graduate,No,105,360,1,Semiurban,Y,850,Business Services,Lev,"Blanda, Hane and Schiller",409,Major Banks,Business Services,Lev
LP001974,Female,No,0,Graduate,No,132,360,1,Rural,Y,780,Major Banks,Koruna,"Jast, Hermann and Nader",477,n/a,Major Banks,Koruna
LP001977,Male,Yes,1,Graduate,No,96,360,1,Urban,Y,620,Real Estate Investment Trusts,Ruble,"Botsford, Kunze and Wyman",603,n/a,Real Estate Investment Trusts,Ruble
LP001978,Male,No,0,Graduate,No,140,360,1,Rural,Y,580,Major Chemicals,Ruble,DuBuque-Barton,703,Major Pharmaceuticals,Major Chemicals,Ruble
LP001990,Male,No,0,Not Graduate,No,,360,1,Urban,N,530,Radio And Television Broadcasting And Communications Equipment,Yuan Renminbi,"Terry, Cormier and Ondricka",890,Electrical Products,Radio And Television Broadcasting And Communications Equipment,Yuan Renminbi
LP001993,Female,No,0,Graduate,No,135,360,1,Rural,Y,570,Electronic Components,Franc,Walker-Abernathy,610,Containers/Packaging,Electronic Components,Franc
LP001994,Female,No,0,Graduate,No,104,360,0,Urban,N,640,Clothing/Shoe/Accessory Stores,Yuan Renminbi,Sporer Group,458,Building Materials,Clothing/Shoe/Accessory Stores,Yuan Renminbi
LP001996,Male,No,0,Graduate,No,480,360,1,Rural,N,690,Major Pharmaceuticals,Euro,Kuvalis Inc,363,Natural Gas Distribution,Major Pharmaceuticals,Euro
LP001998,Male,Yes,2,Not Graduate,No,185,360,,Rural,Y,740,n/a,Tugrik,"Veum, Kunze and Wolf",561,Major Pharmaceuticals,n/a,Tugrik
LP002002,Female,No,0,Graduate,No,84,360,1,Semiurban,Y,790,n/a,Franc,"Nader, Macejkovic and Pollich",673,n/a,n/a,Franc
LP002004,Male,No,0,Not Graduate,No,111,360,1,Semiurban,Y,830,Industrial Specialties,Naira,Moen-Feeney,924,Major Pharmaceuticals,Industrial Specialties,Naira
